Labels,T20_100ms_repeat2,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

3.16E08,8.079E+3,
3.164E008,7.740E+3,
3.168E008,7.821E+3,
3.172E008,7.887E+3,
3.176E008,7.937E+3,
3.18E08,7.903E+3,
3.184E008,7.766E+3,
3.188E008,7.842E+3,
3.192E008,7.860E+3,
3.196E008,7.797E+3,
3.2E08,7.647E+3,
3.204E008,7.764E+3,
3.208E008,7.748E+3,
3.212E008,7.744E+3,
3.216E008,7.976E+3,
3.22E08,7.763E+3,
3.224E008,7.686E+3,
3.228E008,7.797E+3,
3.232E008,7.833E+3,
3.236E008,7.785E+3,
3.24E08,7.714E+3,
3.244E008,7.905E+3,
3.248E008,7.737E+3,
3.252E008,7.733E+3,
3.256E008,7.872E+3,
3.26E08,7.843E+3,
3.264E008,7.691E+3,
3.268E008,7.909E+3,
3.272E008,7.868E+3,
3.276E008,7.839E+3,
3.28E08,7.851E+3,
3.284E008,7.806E+3,
3.288E008,7.939E+3,
3.292E008,7.913E+3,
3.296E008,7.821E+3,
3.3E08,7.741E+3,
3.304E008,7.813E+3,
3.308E008,7.669E+3,
3.312E008,7.857E+3,
3.316E008,7.872E+3,
3.32E08,7.753E+3,
3.324E008,7.757E+3,
3.328E008,7.629E+3,
3.332E008,7.815E+3,
3.336E008,7.859E+3,
3.34E08,7.885E+3,
3.344E008,7.917E+3,
3.348E008,7.726E+3,
3.352E008,7.770E+3,
3.356E008,7.882E+3,
3.36E08,7.702E+3,
3.364E008,7.794E+3,
3.368E008,7.749E+3,
3.372E008,7.796E+3,
3.376E008,7.786E+3,
3.38E08,7.797E+3,
3.384E008,7.671E+3,
3.388E008,7.848E+3,
3.392E008,7.885E+3,
3.396E008,7.832E+3,
3.4E08,7.680E+3,
3.404E008,7.694E+3,
3.408E008,7.707E+3,
3.412E008,7.787E+3,
3.416E008,7.660E+3,
3.42E08,7.804E+3,
3.424E008,7.570E+3,
3.428E008,7.781E+3,
3.432E008,7.749E+3,
3.436E008,7.768E+3,
