Labels,amplitude_3_5sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

3.692E008,2.540E+2,
3.696E008,2.960E+2,
3.7E08,3.020E+2,
3.704E008,2.810E+2,
3.708E008,2.920E+2,
3.712E008,2.620E+2,
3.716E008,2.990E+2,
3.72E08,2.840E+2,
3.724E008,2.460E+2,
3.728E008,2.760E+2,
3.732E008,2.840E+2,
3.736E008,2.860E+2,
3.74E08,2.980E+2,
3.744E008,2.780E+2,
3.748E008,2.450E+2,
3.752E008,2.520E+2,
3.756E008,2.900E+2,
3.76E08,2.930E+2,
3.764E008,2.900E+2,
3.768E008,2.670E+2,
3.772E008,2.670E+2,
3.776E008,2.860E+2,
3.78E08,2.580E+2,
3.784E008,2.650E+2,
3.788E008,2.770E+2,
3.792E008,2.510E+2,
3.796E008,2.760E+2,
3.8E08,2.990E+2,
3.804E008,2.750E+2,
3.808E008,2.810E+2,
3.812E008,2.640E+2,
3.816E008,2.590E+2,
