Labels,5p5,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

3.316E008,1.088E+4,
3.32E08,1.093E+4,
3.324E008,1.073E+4,
3.328E008,1.088E+4,
3.332E008,1.071E+4,
3.336E008,1.099E+4,
3.34E08,1.088E+4,
3.344E008,1.084E+4,
3.348E008,1.089E+4,
3.352E008,1.090E+4,
3.356E008,1.088E+4,
3.36E08,1.094E+4,
3.364E008,1.074E+4,
3.368E008,1.101E+4,
3.372E008,1.100E+4,
3.376E008,1.090E+4,
3.38E08,1.085E+4,
3.384E008,1.094E+4,
3.388E008,1.088E+4,
3.392E008,1.092E+4,
3.396E008,1.086E+4,
3.4E08,1.092E+4,
3.404E008,1.080E+4,
3.408E008,1.096E+4,
3.412E008,1.094E+4,
3.416E008,1.089E+4,
3.42E08,1.065E+4,
3.424E008,1.072E+4,
3.428E008,1.099E+4,
3.432E008,1.105E+4,
3.436E008,1.088E+4,
3.44E08,1.072E+4,
3.444E008,1.066E+4,
3.448E008,1.094E+4,
3.452E008,1.108E+4,
3.456E008,1.076E+4,
3.46E08,1.109E+4,
3.464E008,1.104E+4,
3.468E008,1.084E+4,
3.472E008,1.086E+4,
3.476E008,1.085E+4,
3.48E08,1.082E+4,
3.484E008,1.083E+4,
3.488E008,1.091E+4,
3.492E008,1.093E+4,
3.496E008,1.080E+4,
3.5E08,1.078E+4,
3.504E008,1.084E+4,
3.508E008,1.086E+4,
3.512E008,1.077E+4,
3.516E008,1.095E+4,
3.52E08,1.086E+4,
3.524E008,1.074E+4,
3.528E008,1.066E+4,
3.532E008,1.073E+4,
3.536E008,1.094E+4,
3.54E08,1.101E+4,
3.544E008,1.081E+4,
3.548E008,1.103E+4,
3.552E008,1.090E+4,
3.556E008,1.076E+4,
3.56E08,1.108E+4,
3.564E008,1.094E+4,
3.568E008,1.098E+4,
3.572E008,1.076E+4,
3.576E008,1.090E+4,
3.58E08,1.074E+4,
3.584E008,1.113E+4,
3.588E008,1.099E+4,
3.592E008,1.087E+4,
3.596E008,1.082E+4,
3.6E08,1.096E+4,
3.604E008,1.072E+4,
3.608E008,1.105E+4,
3.612E008,1.083E+4,
3.616E008,1.079E+4,
