Labels,T24_decay_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

2.075E007,9.225E+3,
2.0775E0007,9.061E+3,
2.08E07,9.220E+3,
2.0825E0007,8.962E+3,
2.085E007,9.279E+3,
2.0875E0007,9.128E+3,
2.09E07,9.098E+3,
2.0925E0007,9.148E+3,
2.095E007,9.150E+3,
2.0975E0007,9.060E+3,
2.1E07,9.101E+3,
2.1025E0007,8.944E+3,
2.105E007,9.069E+3,
2.1075E0007,8.915E+3,
2.11E07,8.875E+3,
2.1125E0007,8.760E+3,
2.115E007,8.839E+3,
2.1175E0007,9.050E+3,
2.12E07,9.044E+3,
2.1225E0007,8.939E+3,
2.125E007,8.920E+3,
2.1275E0007,8.900E+3,
2.13E07,9.030E+3,
2.1325E0007,8.881E+3,
2.135E007,8.843E+3,
2.1375E0007,8.615E+3,
2.14E07,8.719E+3,
2.1425E0007,8.800E+3,
2.145E007,8.741E+3,
2.1475E0007,8.731E+3,
2.15E07,8.582E+3,
2.1525E0007,8.955E+3,
2.155E007,8.716E+3,
2.1575E0007,8.591E+3,
2.16E07,8.727E+3,
2.1625E0007,8.702E+3,
2.165E007,8.673E+3,
2.1675E0007,8.581E+3,
2.17E07,8.686E+3,
2.1725E0007,8.510E+3,
2.175E007,8.651E+3,
2.1775E0007,8.568E+3,
2.18E07,8.626E+3,
2.1825E0007,8.611E+3,
2.185E007,8.580E+3,
2.1875E0007,8.478E+3,
2.19E07,8.496E+3,
2.1925E0007,8.324E+3,
2.195E007,8.361E+3,
2.1975E0007,8.347E+3,
2.2E07,8.378E+3,
2.2025E0007,8.366E+3,
2.205E007,8.514E+3,
2.2075E0007,8.437E+3,
2.21E07,8.138E+3,
2.2125E0007,8.322E+3,
2.215E007,8.294E+3,
2.2175E0007,8.262E+3,
2.22E07,8.293E+3,
2.2225E0007,8.447E+3,
2.225E007,8.328E+3,
2.2275E0007,8.233E+3,
2.23E07,8.293E+3,
2.2325E0007,8.265E+3,
2.235E007,8.102E+3,
2.2375E0007,8.266E+3,
2.24E07,8.240E+3,
2.2425E0007,8.199E+3,
2.245E007,8.266E+3,
2.2475E0007,8.275E+3,
