Labels,T27_decay_canolaOil,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.335E007,1.005E+4,
1.3375E0007,1.021E+4,
1.34E07,1.001E+4,
1.3425E0007,9.787E+3,
1.345E007,9.971E+3,
1.3475E0007,9.922E+3,
1.35E07,9.958E+3,
1.3525E0007,1.004E+4,
1.355E007,9.913E+3,
1.3575E0007,9.760E+3,
1.36E07,9.845E+3,
1.3625E0007,9.938E+3,
1.365E007,9.742E+3,
1.3675E0007,9.884E+3,
1.37E07,9.703E+3,
1.3725E0007,9.699E+3,
1.375E007,9.621E+3,
1.3775E0007,9.710E+3,
1.38E07,9.623E+3,
1.3825E0007,9.728E+3,
1.385E007,9.554E+3,
1.3875E0007,9.616E+3,
1.39E07,9.616E+3,
1.3925E0007,9.494E+3,
1.395E007,9.463E+3,
1.3975E0007,9.550E+3,
1.4E07,9.593E+3,
1.4025E0007,9.598E+3,
1.405E007,9.410E+3,
1.4075E0007,9.416E+3,
1.41E07,9.353E+3,
1.4125E0007,9.372E+3,
1.415E007,9.410E+3,
1.4175E0007,9.446E+3,
1.42E07,9.342E+3,
1.4225E0007,9.439E+3,
1.425E007,9.409E+3,
1.4275E0007,9.260E+3,
1.43E07,9.412E+3,
1.4325E0007,9.088E+3,
1.435E007,9.136E+3,
1.4375E0007,9.180E+3,
1.44E07,9.045E+3,
1.4425E0007,9.101E+3,
1.445E007,9.057E+3,
1.4475E0007,9.028E+3,
1.45E07,8.980E+3,
1.4525E0007,9.205E+3,
1.455E007,9.222E+3,
1.4575E0007,8.938E+3,
1.46E07,9.095E+3,
1.4625E0007,8.988E+3,
1.465E007,8.927E+3,
1.4675E0007,8.918E+3,
1.47E07,9.046E+3,
1.4725E0007,8.926E+3,
1.475E007,8.889E+3,
1.4775E0007,8.918E+3,
1.48E07,8.871E+3,
1.4825E0007,8.862E+3,
1.485E007,8.675E+3,
1.4875E0007,8.950E+3,
1.49E07,8.719E+3,
1.4925E0007,8.672E+3,
1.495E007,8.693E+3,
1.4975E0007,8.865E+3,
1.5E07,8.727E+3,
1.5025E0007,8.660E+3,
1.505E007,8.568E+3,
1.5075E0007,8.558E+3,
1.51E07,8.534E+3,
1.5125E0007,8.502E+3,
1.515E007,8.645E+3,
1.5175E0007,8.615E+3,
1.52E07,8.722E+3,
1.5225E0007,8.537E+3,
1.525E007,8.479E+3,
1.5275E0007,8.358E+3,
1.53E07,8.375E+3,
1.5325E0007,8.386E+3,
1.535E007,8.354E+3,
1.5375E0007,8.464E+3,
1.54E07,8.572E+3,
1.5425E0007,8.475E+3,
1.545E007,8.479E+3,
1.5475E0007,8.526E+3,
1.55E07,8.419E+3,
1.5525E0007,8.223E+3,
1.555E007,8.384E+3,
1.5575E0007,8.238E+3,
1.56E07,8.187E+3,
1.5625E0007,8.224E+3,
1.565E007,8.123E+3,
1.5675E0007,8.121E+3,
1.57E07,8.171E+3,
1.5725E0007,8.118E+3,
1.575E007,8.004E+3,
1.5775E0007,8.156E+3,
1.58E07,8.100E+3,
1.5825E0007,8.201E+3,
1.585E007,8.191E+3,
1.5875E0007,8.167E+3,
1.59E07,7.930E+3,
1.5925E0007,8.005E+3,
1.595E007,8.110E+3,
1.5975E0007,7.976E+3,
1.6E07,7.995E+3,
1.6025E0007,7.969E+3,
1.605E007,7.985E+3,
1.6075E0007,7.889E+3,
1.61E07,7.897E+3,
1.6125E0007,8.035E+3,
1.615E007,7.747E+3,
1.6175E0007,7.781E+3,
1.62E07,7.935E+3,
1.6225E0007,7.733E+3,
1.625E007,7.768E+3,
1.6275E0007,7.794E+3,
1.63E07,7.812E+3,
1.6325E0007,7.790E+3,
1.635E007,7.775E+3,
1.6375E0007,7.744E+3,
1.64E07,7.696E+3,
1.6425E0007,7.530E+3,
1.645E007,7.620E+3,
1.6475E0007,7.538E+3,
1.65E07,7.645E+3,
1.6525E0007,7.689E+3,
1.655E007,7.683E+3,
1.6575E0007,7.556E+3,
1.66E07,7.539E+3,
1.6625E0007,7.405E+3,
1.665E007,7.423E+3,
1.6675E0007,7.469E+3,
1.67E07,7.591E+3,
1.6725E0007,7.525E+3,
1.675E007,7.369E+3,
1.6775E0007,7.478E+3,
1.68E07,7.578E+3,
1.6825E0007,7.423E+3,
1.685E007,7.308E+3,
1.6875E0007,7.494E+3,
1.69E07,7.341E+3,
1.6925E0007,7.470E+3,
1.695E007,7.245E+3,
1.6975E0007,7.402E+3,
1.7E07,7.318E+3,
1.7025E0007,7.382E+3,
1.705E007,7.180E+3,
1.7075E0007,7.143E+3,
1.71E07,7.204E+3,
1.7125E0007,7.325E+3,
1.715E007,7.119E+3,
1.7175E0007,7.279E+3,
1.72E07,7.140E+3,
1.7225E0007,7.191E+3,
1.725E007,6.974E+3,
1.7275E0007,7.142E+3,
1.73E07,6.927E+3,
1.7325E0007,7.072E+3,
1.735E007,7.023E+3,
1.7375E0007,7.009E+3,
1.74E07,7.119E+3,
1.7425E0007,7.024E+3,
1.745E007,6.957E+3,
1.7475E0007,7.023E+3,
1.75E07,6.968E+3,
1.7525E0007,7.123E+3,
1.755E007,7.072E+3,
1.7575E0007,6.902E+3,
1.76E07,6.894E+3,
1.7625E0007,6.975E+3,
1.765E007,6.948E+3,
1.7675E0007,6.881E+3,
1.77E07,6.723E+3,
1.7725E0007,6.856E+3,
1.775E007,6.856E+3,
1.7775E0007,6.851E+3,
1.78E07,6.679E+3,
1.7825E0007,6.701E+3,
1.785E007,6.813E+3,
1.7875E0007,6.900E+3,
1.79E07,6.551E+3,
1.7925E0007,6.715E+3,
1.795E007,6.634E+3,
1.7975E0007,6.659E+3,
1.8E07,6.711E+3,
1.8025E0007,6.667E+3,
1.805E007,6.653E+3,
1.8075E0007,6.698E+3,
1.81E07,6.712E+3,
1.8125E0007,6.617E+3,
1.815E007,6.648E+3,
1.8175E0007,6.607E+3,
1.82E07,6.580E+3,
1.8225E0007,6.584E+3,
1.825E007,6.585E+3,
1.8275E0007,6.466E+3,
1.83E07,6.482E+3,
1.8325E0007,6.419E+3,
1.835E007,6.532E+3,
1.8375E0007,6.448E+3,
1.84E07,6.604E+3,
1.8425E0007,6.305E+3,
1.845E007,6.338E+3,
1.8475E0007,6.301E+3,
1.85E07,6.264E+3,
1.8525E0007,6.325E+3,
1.855E007,6.330E+3,
1.8575E0007,6.233E+3,
1.86E07,6.439E+3,
1.8625E0007,6.435E+3,
1.865E007,6.353E+3,
1.8675E0007,6.263E+3,
1.87E07,6.349E+3,
1.8725E0007,6.341E+3,
1.875E007,6.248E+3,
1.8775E0007,6.303E+3,
1.88E07,6.281E+3,
1.8825E0007,6.266E+3,
1.885E007,6.229E+3,
1.8875E0007,6.095E+3,
1.89E07,6.291E+3,
1.8925E0007,6.183E+3,
1.895E007,6.325E+3,
1.8975E0007,6.243E+3,
1.9E07,6.155E+3,
1.9025E0007,6.064E+3,
1.905E007,6.099E+3,
1.9075E0007,6.001E+3,
1.91E07,6.084E+3,
1.9125E0007,6.122E+3,
1.915E007,6.133E+3,
1.9175E0007,6.100E+3,
1.92E07,6.041E+3,
1.9225E0007,5.917E+3,
1.925E007,6.062E+3,
1.9275E0007,5.987E+3,
1.93E07,5.902E+3,
1.9325E0007,5.908E+3,
1.935E007,5.988E+3,
1.9375E0007,5.864E+3,
1.94E07,5.786E+3,
1.9425E0007,5.905E+3,
1.945E007,5.726E+3,
1.9475E0007,5.828E+3,
1.95E07,5.897E+3,
1.9525E0007,5.871E+3,
1.955E007,5.721E+3,
1.9575E0007,5.933E+3,
1.96E07,5.937E+3,
1.9625E0007,5.781E+3,
1.965E007,5.902E+3,
1.9675E0007,5.735E+3,
1.97E07,5.626E+3,
1.9725E0007,5.856E+3,
1.975E007,5.753E+3,
1.9775E0007,5.798E+3,
1.98E07,5.935E+3,
1.9825E0007,5.802E+3,
1.985E007,5.783E+3,
1.9875E0007,5.733E+3,
1.99E07,5.698E+3,
1.9925E0007,5.534E+3,
1.995E007,5.559E+3,
1.9975E0007,5.590E+3,
2E07,5.699E+3,
2.0025E0007,5.611E+3,
2.005E007,5.465E+3,
2.0075E0007,5.717E+3,
2.01E07,5.545E+3,
2.0125E0007,5.587E+3,
2.015E007,5.504E+3,
2.0175E0007,5.532E+3,
2.02E07,5.507E+3,
2.0225E0007,5.601E+3,
2.025E007,5.497E+3,
2.0275E0007,5.495E+3,
2.03E07,5.520E+3,
2.0325E0007,5.417E+3,
2.035E007,5.492E+3,
2.0375E0007,5.375E+3,
2.04E07,5.479E+3,
2.0425E0007,5.328E+3,
2.045E007,5.371E+3,
2.0475E0007,5.264E+3,
2.05E07,5.485E+3,
2.0525E0007,5.358E+3,
2.055E007,5.382E+3,
2.0575E0007,5.331E+3,
2.06E07,5.236E+3,
2.0625E0007,5.328E+3,
2.065E007,5.201E+3,
2.0675E0007,5.303E+3,
2.07E07,5.261E+3,
2.0725E0007,5.257E+3,
2.075E007,5.302E+3,
2.0775E0007,5.295E+3,
2.08E07,5.262E+3,
2.0825E0007,5.445E+3,
2.085E007,5.252E+3,
2.0875E0007,5.238E+3,
2.09E07,5.258E+3,
2.0925E0007,5.193E+3,
2.095E007,5.272E+3,
2.0975E0007,5.220E+3,
2.1E07,5.153E+3,
2.1025E0007,5.181E+3,
2.105E007,5.216E+3,
2.1075E0007,5.109E+3,
2.11E07,5.092E+3,
2.1125E0007,5.179E+3,
2.115E007,4.990E+3,
